SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
1,790,32995,Nevada Jacobs,4673820,CBCOB 3,,CBCOB 3,8,,7,54.3,252,18,25/ 6,6,202,4.62,14.00,18.2,0,1,1,17,10,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
2,790,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,9,,7,53.4,271,15,39/ 4,4,164,5.05,18.07,21.5,0,2,0,5,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
3,790,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,,8,50.3,231,14,40/ 3,1,184,4.57,16.50,21.6,0,0,0,9,0,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
4,790,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,13,,12,52.0,279,14,15/ 3,3,209,5.37,19.93,22.3,0,0,0,26,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
5,790,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,13,,13,74.0,357,13,38/ 3,10,301,4.82,27.46,34.2,0,0,0,30,1,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
6,790,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,10,,10,55.1,209,11,17/ 3,8,236,3.79,19.00,30.1,0,0,0,12,1,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
7,790,32995,Piet Botha,4198490,SINOVILLE 4,,SINOVILLE 4,3,,3,24.3,78,10,7/ 5,4,100,3.18,7.80,14.7,0,0,2,2,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
8,790,32995,Brian Kershaw,4688792,PHSOB 3,,PHSOB 3,3,,3,26.0,84,10,31/ 7,5,85,3.23,8.40,15.6,0,0,1,8,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
9,790,32995,Divan Potgieter,4673570,TUT 3,,TUT 3,3,,3,23.0,86,10,23/ 4,1,99,3.74,8.60,13.8,0,1,0,6,0,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
10,790,32995,Piet Botha,4063611,SINOVILLE 3,,SINOVILLE 3,4,,4,34.0,130,10,28/ 4,4,141,3.82,13.00,20.4,0,1,0,1,0,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
11,790,32995,Elgun Boecker,4702810,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,,8,49.0,218,10,29/ 4,3,194,4.45,21.80,29.4,0,1,0,17,0,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
12,790,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,6,,5,34.0,174,9,50/ 3,0,115,5.12,19.33,22.7,0,0,0,2,0,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
13,790,32995,James Van der merwe,4892050,SINOVILLE 4,,SINOVILLE 4,2,,2,14.1,62,8,21/ 5,1,53,4.38,7.75,10.6,0,0,1,2,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
14,790,32995,Regan Pruss,3713341,PHSOB 3,,PHSOB 3,2,,2,12.1,66,8,23/ 5,1,45,5.42,8.25,9.1,1,0,1,7,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
15,790,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,9,,7,35.0,202,8,21/ 3,1,121,5.77,25.25,26.2,1,0,0,9,1,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
16,790,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,10,,7,28.3,178,8,5/ 2,1,88,6.25,22.25,21.4,0,0,0,9,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
17,790,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,3,,3,26.0,80,7,11/ 3,6,120,3.08,11.43,22.3,0,0,0,6,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
18,790,32995,Dewald Van Der Walt,3276817,HARLEQUINS 3,,HARLEQUINS 3,6,,5,35.0,142,7,19/ 5,3,74,4.06,20.29,30.0,0,0,1,9,0,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
19,790,32995,Elandré van den Berg,3713456,TUKS 5,,TUKS 5,8,,8,37.0,157,7,24/ 3,8,156,4.24,22.43,31.7,0,0,0,23,0,2024 Titans Second League
