SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
1,949,32995,Divan Potgieter,4673570,TUT 3,,TUT 3,7,,7,54.2,192,18,33/ 6,8,234,3.53,10.67,18.1,0,0,2,12,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
2,949,32995,Brandon Polyblank,6336390,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,9,,9,51.0,323,16,29/ 5,2,192,6.33,20.19,19.1,0,0,2,30,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
3,949,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,11,,11,67.5,283,15,13/ 2,9,282,4.17,18.87,27.1,0,0,0,13,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
4,949,32995,Kyle Kunneke,2985826,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,,9,49.0,177,14,21/ 3,2,179,3.61,12.64,21.0,0,0,0,11,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
5,949,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,10,,10,55.0,243,14,32/ 5,5,225,4.42,17.36,23.6,0,0,1,18,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
6,949,32995,Burgert Kloppers,4742888,PHSOB 3,,PHSOB 3,8,,8,49.0,217,14,26/ 3,6,213,4.43,15.50,21.0,0,0,0,30,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
7,949,32995,Brian Kershaw,4688792,PHSOB 3,,PHSOB 3,9,,9,69.4,252,13,29/ 3,10,291,3.62,19.38,32.2,0,0,0,18,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
8,949,32995,Dewald Basson,3018234,TUT 3,,TUT 3,8,,8,55.2,202,13,27/ 4,5,240,3.65,15.54,25.5,0,1,0,18,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
9,949,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,12,,10,58.2,279,13,47/ 5,6,240,4.78,21.46,26.9,0,0,1,31,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
10,949,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,6,,6,44.2,245,13,28/ 4,2,152,5.53,18.85,20.5,0,2,0,14,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
11,949,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,,8,55.1,195,12,14/ 5,1,229,3.53,16.25,27.6,0,0,1,22,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
12,949,32995,Janro De Bruin,6299640,CBCOB 3,,CBCOB 3,8,,8,41.2,158,11,13/ 5,8,189,3.82,14.36,22.5,0,0,1,11,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
13,949,32995,Johan Nel,4655263,TUKS 5,,TUKS 5,10,,9,53.3,223,11,11/ 2,6,217,4.17,20.27,29.2,0,0,0,14,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
14,949,32995,Waldemar Bodenstein,6299549,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,,6,36.5,141,10,9/ 4,4,141,3.83,14.10,22.1,0,1,0,10,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
15,949,32995,Juan Viljoen,4729877,HARLEQUINS 3,,HARLEQUINS 3,11,,10,60.0,257,10,20/ 3,4,246,4.28,25.70,36.0,0,0,0,24,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
